AcresBurned,Active,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
257314,FALSE,,2013,TRUE,/incidents/2013/8/17/rim-fire/,Tuolumne,,,,2013-09-06T18:30:00Z,,FALSE,TRUE,,,,37.857,-120.086,FALSE,Rim Fire,100,,TRUE,2013-08-17T15:25:00Z,Finalized,,,,,5fb18d4d-213f-4d83-a179-daaf11939e78,2013-09-06T18:30:00Z,
30274,FALSE,,2013,TRUE,/incidents/2013/5/30/powerhouse-fire/,Los Angeles,,,,2013-06-08T18:30:00Z,,FALSE,TRUE,,,,34.585595,-118.423176,FALSE,Powerhouse Fire,100,,TRUE,2013-05-30T15:28:00Z,Finalized,,,,,bf37805e-1cc2-4208-9972-753e47874c87,2013-06-08T18:30:00Z,
27531,FALSE,,2013,TRUE,/incidents/2013/7/15/mountain-fire/,Riverside,,,,2013-07-30T18:00:00Z,,FALSE,TRUE,,,,33.7095,-116.72885,FALSE,Mountain Fire,100,,TRUE,2013-07-15T13:43:00Z,Finalized,,,,,a3149fec-4d48-427c-8b2c-59e8b79d59db,2013-07-30T18:00:00Z,
27440,FALSE,,2013,FALSE,/incidents/2013/8/10/american-fire/,Placer,,,,2013-08-30T08:00:00Z,,FALSE,TRUE,,,,39.12,-120.65,FALSE,American Fire,100,,TRUE,2013-08-10T16:30:00Z,Finalized,,,,,8213f5c7-34fa-403b-a4bc-da2ace6e6625,2013-08-30T08:00:00Z,
24251,FALSE,,2013,TRUE,/incidents/2013/5/2/springs-fire/,Ventura,47,8,117,2013-05-11T06:30:00Z,,FALSE,TRUE,,11,10,0,0,TRUE,Springs Fire,100,2167,TRUE,2013-05-02T07:01:00Z,Finalized,6,10,,,46731fb8-3350-4920-bdf7-910ac0eb715c,2013-05-11T06:30:00Z,11
22992,FALSE,,2013,FALSE,/incidents/2013/7/22/aspen-fire/,Fresno,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,37.279,-119.318,FALSE,Aspen Fire,100,,TRUE,2013-07-22T22:15:00Z,Finalized,,,,,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,2013-09-24T20:15:00Z,
20292,FALSE,,2013,TRUE,/incidents/2013/8/7/silver-fire/,Riverside,63,20,201,2013-08-12T18:00:00Z,,FALSE,TRUE,,20,26,33.86157,-116.90427,TRUE,Silver Fire,100,2106,TRUE,2013-08-07T14:05:00Z,Finalized,8,40,,,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,2013-08-12T18:00:00Z,20
14754,FALSE,,2013,FALSE,/incidents/2013/7/31/salmon-river-complex/,Siskiyou,,,,2013-08-31T06:45:00Z,,FALSE,TRUE,,,,41.32,-123.176,FALSE,Salmon River Complex,100,,TRUE,2013-07-31T22:00:00Z,Finalized,,,,,ba76c009-09c9-497c-b923-1ac8cf05c20d,2013-08-31T06:45:00Z,
12503,FALSE,,2013,FALSE,/incidents/2013/8/10/corral-complex/,Humboldt,,,,2013-08-12T12:00:00Z,,FALSE,TRUE,,,,41.035,-123.488,FALSE,Corral Complex,100,,TRUE,2013-08-10T11:40:00Z,Finalized,,,,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,2013-08-12T12:00:00Z,
11429,FALSE,,2013,TRUE,/incidents/2013/8/23/deer-fire/,Tehama,30,3,36,2013-08-29T16:45:00Z,,FALSE,TRUE,,5,5,40.04263,-121.85397,TRUE,Deer Fire,100,898,TRUE,2013-08-23T14:15:00Z,Finalized,,,,,956dbcf6-db40-4b61-b235-4ede14738f1e,2013-08-29T16:45:00Z,8
